category,event_ticker,event_title,market_ticker,market_title,yes_bid,yes_ask,mid_yes,last_price,spread_yes,liquidity,tick_size,close_time,time_to_close_hours
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B1.3,1.1 to 1.5,0.0,0.01,0.01,0.01,,382080.08,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B3.3,3.1 to 3.5,0.02,0.03,0.025,0.02,0.01,371932.72,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXCPICORE-26JAN,CPI core in Jan 2026?,KXCPICORE-26JAN-T0.2,Above 0.2%,0.42,0.74,0.58,0.74,0.32,79931.73,1,2026-02-11 13:25:00+00:00,32.96
Economics,KXECONSTATCPICORE-26JAN,CPI core month-over-month in Jan 2026?,KXECONSTATCPICORE-26JAN-T0.3,Exactly 0.3%,0.41,0.55,0.48,0.64,0.14,77972.2,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B2.8,2.6 to 3.0,0.04,0.06,0.05,0.05,0.02,75594.96,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXECONSTATCPICORE-26JAN,CPI core month-over-month in Jan 2026?,KXECONSTATCPICORE-26JAN-T0.2,Exactly 0.2%,0.19,0.65,0.42,0.2,0.46,68876.19,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T2.2,Above 2.2%,0.92,0.94,0.93,0.94,0.02,64091.7,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.4,Exactly 2.4%,0.26,0.5,0.38,0.26,0.24,58191.42,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXCPI-26JAN,CPI in Jan 2026?,KXCPI-26JAN-T0.0,Above 0.0%,0.9,0.91,0.905,0.9,0.01,56152.34,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXCPICOREYOY-26JAN,Core inflation in Jan 2026? (Core CPI YoY),KXCPICOREYOY-26JAN-T2.4,Above 2.4%,0.71,0.8,0.755,0.7,0.09,55556.24,1,2026-02-11 13:25:00+00:00,32.96
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T1.5,Above 1.5%,0.95,0.97,0.96,0.95,0.02,53483.96,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXECONSTATCPI-26JAN,CPI month-over-month in Jan 2026?,KXECONSTATCPI-26JAN-T0.2,Exactly 0.2%,0.23,0.49,0.36,0.54,0.26,50462.87,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T2.5,Exactly 2.5%,0.15,0.57,0.36,0.15,0.42,50094.43,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T2.3,Above 2.3%,0.81,0.82,0.815,0.82,0.01,48015.89,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXCPI-26JAN,CPI in Jan 2026?,KXCPI-26JAN-T0.1,Above 0.1%,0.74,0.76,0.75,0.75,0.02,47484.99,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.5,Exactly 2.5%,0.15,0.5,0.325,0.17,0.35,43017.27,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXCPICORE-26JAN,CPI core in Jan 2026?,KXCPICORE-26JAN-T0.1,Above 0.1%,0.9,0.94,0.92,0.95,0.04,40013.08,1,2026-02-11 13:25:00+00:00,32.96
Economics,KXECONSTATCPICORE-26JAN,CPI core month-over-month in Jan 2026?,KXECONSTATCPICORE-26JAN-T0.1,Exactly 0.1%,0.06,0.28,0.17,0.06,0.22,39914.29,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPI-26JAN,CPI month-over-month in Jan 2026?,KXECONSTATCPI-26JAN-T0.1,Exactly 0.1%,0.12,0.43,0.275,0.15,0.31,38099.53,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXCPICORE-26JAN,CPI core in Jan 2026?,KXCPICORE-26JAN-T0.0,Above 0.0%,0.9,1.0,0.95,0.0,0.1,37353.7,1,2026-02-11 13:25:00+00:00,32.96
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T2.4,Above 2.4%,0.57,0.59,0.58,0.59,0.02,36652.07,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B2.3,2.1 to 2.5,0.93,0.95,0.94,0.95,0.02,34916.49,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXECONSTATCPI-26JAN,CPI month-over-month in Jan 2026?,KXECONSTATCPI-26JAN-T0.0,Exactly 0.0%,0.03,0.05,0.04,0.03,0.02,34716.16,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPI-26JAN,CPI month-over-month in Jan 2026?,KXECONSTATCPI-26JAN-T0.3,Exactly 0.3%,0.19,0.29,0.24,0.3,0.1,34667.73,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXCPICORE-26JAN,CPI core in Jan 2026?,KXCPICORE-26JAN-T0.3,Above 0.3%,0.35,0.45,0.4,0.44,0.1,31980.96,1,2026-02-11 13:25:00+00:00,32.96
Economics,KXCPI-26JAN,CPI in Jan 2026?,KXCPI-26JAN-T0.2,Above 0.2%,0.39,0.4,0.395,0.39,0.01,30704.31,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T2.4,Exactly 2.4%,0.18,0.65,0.415,0.18,0.47,28396.25,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T2.3,Exactly 2.3%,0.06,0.97,0.515,0.08,0.91,27075.92,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T2.6,Exactly 2.6%,0.05,0.97,0.51,0.06,0.92,26530.74,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T1.75,Above 1.75%,0.94,0.97,0.955,0.93,0.03,26380.14,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.3,Exactly 2.3%,0.19,0.24,0.215,0.19,0.05,25588.41,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPI-26JAN,CPI month-over-month in Jan 2026?,KXECONSTATCPI-26JAN-T0.4,Exactly 0.4%,0.04,0.3,0.17,0.03,0.26,25184.78,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T2.5,Above 2.5%,0.3,0.31,0.305,0.3,0.01,24613.59,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T2.0,Above 2.0%,0.87,0.88,0.875,0.88,0.01,23312.28,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXEGGS-JAN,Will egg prices go up in Jan 2026?,KXEGGS-JAN-0,above 0%,0.15,0.38,0.265,0.36,0.23,22834.62,1,2026-02-11 13:25:00+00:00,32.96
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T5.5,Above 5.5%,0.04,0.08,0.06,0.07,0.04,22023.55,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B1.8,1.6 to 2.0,0.01,0.02,0.015,0.02,0.01,21833.04,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T4.5,Above 4.5%,0.1,0.28,0.19,0.17,0.18,21731.78,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T5,Above 5%,0.12,0.15,0.135,0.11,0.03,21124.94,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXCPI-26JAN,CPI in Jan 2026?,KXCPI-26JAN-T0.3,Above 0.3%,0.13,0.15,0.14,0.13,0.02,20973.19,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXCPICOREYOY-26JAN,Core inflation in Jan 2026? (Core CPI YoY),KXCPICOREYOY-26JAN-T2.5,Above 2.5%,0.34,0.51,0.425,0.52,0.17,20342.87,1,2026-02-11 13:25:00+00:00,32.96
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T3.5,Above 3.5%,0.38,0.42,0.4,0.42,0.04,20012.21,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T2.5,Above 2.5%,0.78,0.82,0.8,0.8,0.04,18901.34,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXCPICOREYOY-26JAN,Core inflation in Jan 2026? (Core CPI YoY),KXCPICOREYOY-26JAN-T2.6,Above 2.6%,0.04,0.35,0.195,0.01,0.31,17644.29,1,2026-02-11 13:25:00+00:00,32.96
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.6,Exactly 2.6%,0.06,0.45,0.255,0.0,0.39,15614.18,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T3.0,Above 3.0%,0.57,0.67,0.62,0.67,0.1,15092.61,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXCPI-26JAN,CPI in Jan 2026?,KXCPI-26JAN-T0.4,Above 0.4%,0.04,0.05,0.045,0.03,0.01,15003.47,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXCPICORE-26JAN,CPI core in Jan 2026?,KXCPICORE-26JAN-T0.4,Above 0.4%,0.0,0.17,0.16,0.16,,13394.7,1,2026-02-11 13:25:00+00:00,32.96
Economics,KXCPICOREYOY-26JAN,Core inflation in Jan 2026? (Core CPI YoY),KXCPICOREYOY-26JAN-T2.7,Above 2.7%,0.01,0.23,0.12,0.24,0.22,12959.87,1,2026-02-11 13:25:00+00:00,32.96
Economics,KXCPI-26JAN,CPI in Jan 2026?,KXCPI-26JAN-T-0.1,Above -0.1%,0.98,0.99,0.985,0.99,0.01,10752.5,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.7,Exactly 2.7%,0.03,0.07,0.05,0.11,0.04,10590.25,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXCPICOREYOY-26JAN,Core inflation in Jan 2026? (Core CPI YoY),KXCPICOREYOY-26JAN-T2.8,Above 2.8%,0.02,0.1,0.06,0.1,0.08,10416.49,1,2026-02-11 13:25:00+00:00,32.96
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T2.6,Above 2.6%,0.13,0.14,0.135,0.14,0.01,9986.77,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXCPICOREYOY-26JAN,Core inflation in Jan 2026? (Core CPI YoY),KXCPICOREYOY-26JAN-T2.9,Above 2.9%,0.02,0.07,0.045,0.02,0.05,9965.25,1,2026-02-11 13:25:00+00:00,32.96
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T6,Above 6%,0.01,0.02,0.015,0.01,0.01,9889.6,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXCPICOREYOY-26JAN,Core inflation in Jan 2026? (Core CPI YoY),KXCPICOREYOY-26JAN-T3.0,Above 3.0%,0.0,0.06,0.07,0.07,,8830.32,1,2026-02-11 13:25:00+00:00,32.96
Economics,KXCPICOREYOY-26JAN,Core inflation in Jan 2026? (Core CPI YoY),KXCPICOREYOY-26JAN-T3.1,Above 3.1%,0.0,0.04,0.05,0.05,,8770.92,1,2026-02-11 13:25:00+00:00,32.96
Economics,KXCPICORE-26JAN,CPI core in Jan 2026?,KXCPICORE-26JAN-T0.5,Above 0.5%,0.0,0.1,0.08,0.08,,8550.05,1,2026-02-11 13:25:00+00:00,32.96
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T3.1,Above 3.1%,0.0,0.02,0.01,0.01,,8375.87,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T2.7,Above 2.7%,0.04,0.05,0.045,0.03,0.01,8134.93,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPICORE-26JAN,CPI core month-over-month in Jan 2026?,KXECONSTATCPICORE-26JAN-T0.4,Exactly 0.4%,0.0,0.32,0.4,0.4,,7940.0,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T2.9,Above 2.9%,0.0,0.02,0.01,0.01,,7938.01,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPI-26JAN,CPI month-over-month in Jan 2026?,KXECONSTATCPI-26JAN-T-0.1,Exactly -0.1%,0.0,0.16,0.37,0.37,,7826.0,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPI-26JAN,CPI month-over-month in Jan 2026?,KXECONSTATCPI-26JAN-T0.5,Exactly 0.5%,0.0,0.2,0.3,0.3,,7452.25,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPICORE-26JAN,CPI core month-over-month in Jan 2026?,KXECONSTATCPICORE-26JAN-T0.5,Exactly 0.5%,0.0,0.21,0.38,0.38,,7233.14,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T2.9,Exactly 2.9%,0.0,0.1,0.3,0.3,,7110.74,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T4,Above 4%,0.27,0.45,0.36,0.44,0.18,7066.21,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T2.1,Above 2.1%,0.98,1.0,0.99,0.98,0.02,6638.26,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPI-26JAN,CPI month-over-month in Jan 2026?,KXECONSTATCPI-26JAN-T0.6,Exactly 0.6%,0.0,0.15,0.28,0.28,,6620.55,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPI-26JAN,CPI month-over-month in Jan 2026?,KXECONSTATCPI-26JAN-T-0.2,Exactly -0.2%,0.0,0.12,0.29,0.29,,6464.97,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T3.0,Above 3.0%,0.0,0.02,0.01,0.01,,6356.08,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T2.8,Above 2.8%,0.0,0.04,0.03,0.03,,6349.52,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T3.0,Exactly 3.0%,0.0,0.11,0.19,0.19,,6171.24,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T3.0,Exactly 3.0%,0.0,0.08,0.25,0.25,,6067.84,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.8,Exactly 2.8%,0.0,0.16,0.0,0.0,,6063.23,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T3.1,Exactly 3.1%,0.0,0.08,0.2,0.2,,6032.24,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T3.4,Exactly 3.4%,0.0,0.08,0.0,0.0,,6030.66,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T3.5,Exactly 3.5%,0.0,0.08,0.0,0.0,,6026.2,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T3.6,Exactly 3.6%,0.0,0.08,0.0,0.0,,6023.16,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T3.3,Exactly 3.3%,0.0,0.08,0.0,0.0,,6010.94,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T3.2,Exactly 3.2%,0.0,0.08,0.0,0.0,,6001.0,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T0,Above 0%,0.99,1.0,0.995,0.99,0.01,5859.7,1,2026-02-20 13:29:00+00:00,249.03
Economics,KXECONSTATCPICORE-26JAN,CPI core month-over-month in Jan 2026?,KXECONSTATCPICORE-26JAN-T0.0,Exactly 0.0%,0.0,0.15,0.0,0.0,,5838.63,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T2.2,Exactly 2.2%,0.0,0.15,0.0,0.0,,5818.81,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T2.8,Exactly 2.8%,0.0,0.15,0.15,0.15,,5785.44,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.2,Exactly 2.2%,0.01,0.04,0.025,0.0,0.03,5775.08,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T2.7,Exactly 2.7%,0.0,0.15,0.0,0.0,,5744.59,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXJOBLESSCLAIMS-26FEB12,"How many initial jobless claims for the week ending Feb 7, 2026?",KXJOBLESSCLAIMS-26FEB12-230000,At least 230000,0.27,0.28,0.275,0.22,0.01,5736.03,1,2026-02-12 13:30:00+00:00,57.05
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.9,Exactly 2.9%,0.0,0.14,0.3,0.3,,5727.48,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.1,Exactly 2.1%,0.0,0.18,0.37,0.37,,5573.78,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T3.1,Exactly 3.1%,0.0,0.1,0.02,0.02,,5446.47,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T3.7,Exactly 3.7%,0.0,0.06,0.0,0.0,,5238.48,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T3.3,Exactly 3.3%,0.0,0.08,0.28,0.28,,5146.72,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXCBDECISIONRUSSIA-26FEB13,What will the Bank of Russia do at the February key rate meeting?,KXCBDECISIONRUSSIA-26FEB13-HOLD,Maintain current rate,0.63,0.69,0.66,0.7,0.06,4967.29,1,2026-02-13 10:29:00+00:00,78.03
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T3.5,Exactly 3.5%,0.0,0.07,0.0,0.0,,4875.04,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPICORE-26JAN,CPI core month-over-month in Jan 2026?,KXECONSTATCPICORE-26JAN-T-0.1,Exactly -0.1%,0.0,0.1,0.38,0.38,,4851.76,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPICORE-26JAN,CPI core month-over-month in Jan 2026?,KXECONSTATCPICORE-26JAN-T-0.2,Exactly -0.2%,0.0,0.1,0.25,0.25,,4848.85,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.0,Exactly 2.0%,0.0,0.13,0.34,0.34,,4809.16,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXJOBLESSCLAIMS-26FEB12,"How many initial jobless claims for the week ending Feb 7, 2026?",KXJOBLESSCLAIMS-26FEB12-210000,At least 210000,0.63,0.74,0.685,0.73,0.11,4689.07,1,2026-02-12 13:30:00+00:00,57.05
Economics,KXJOBLESSCLAIMS-26FEB12,"How many initial jobless claims for the week ending Feb 7, 2026?",KXJOBLESSCLAIMS-26FEB12-215000,At least 215000,0.59,0.6,0.595,0.5,0.01,4686.84,1,2026-02-12 13:30:00+00:00,57.05
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T3.4,Exactly 3.4%,0.0,0.06,0.0,0.0,,4681.29,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T3.2,Exactly 3.2%,0.0,0.06,0.3,0.3,,4627.96,1,2026-02-11 13:29:00+00:00,33.03
Economics,KXJOBLESSCLAIMS-26FEB12,"How many initial jobless claims for the week ending Feb 7, 2026?",KXJOBLESSCLAIMS-26FEB12-225000,At least 225000,0.36,0.39,0.375,0.32,0.03,4507.09,1,2026-02-12 13:30:00+00:00,57.05
Economics,KXJOBLESSCLAIMS-26FEB12,"How many initial jobless claims for the week ending Feb 7, 2026?",KXJOBLESSCLAIMS-26FEB12-220000,At least 220000,0.45,0.47,0.46,0.42,0.02,4381.11,1,2026-02-12 13:30:00+00:00,57.05
Economics,KXCBDECISIONRUSSIA-26FEB13,What will the Bank of Russia do at the February key rate meeting?,KXCBDECISIONRUSSIA-26FEB13-C50,Cut 50 basis points,0.23,0.3,0.265,0.3,0.07,3822.64,1,2026-02-13 10:29:00+00:00,78.03
Economics,KXJOBLESSCLAIMS-26FEB12,"How many initial jobless claims for the week ending Feb 7, 2026?",KXJOBLESSCLAIMS-26FEB12-200000,At least 200000,0.82,0.85,0.835,0.83,0.03,3618.13,1,2026-02-12 13:30:00+00:00,57.05
Economics,KXJOBLESSCLAIMS-26FEB12,"How many initial jobless claims for the week ending Feb 7, 2026?",KXJOBLESSCLAIMS-26FEB12-240000,At least 240000,0.05,0.16,0.105,0.14,0.11,3184.53,1,2026-02-12 13:30:00+00:00,57.05
