category,event_ticker,event_title,market_ticker,market_title,yes_bid,yes_ask,mid_yes,last_price,close_time,time_to_close_hours
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T.5,Above 0.5%,0.98,1.0,0.99,0.99,2026-02-20 13:29:00+00:00,249.27
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T2.3,Above 2.3%,0.81,0.82,0.815,0.82,2026-02-11 13:29:00+00:00,33.27
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B1.3,1.1 to 1.5,0.0,0.01,0.01,0.01,2026-02-20 13:29:00+00:00,249.27
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-T5.0,5.1 or above,0.0,0.01,0.01,0.01,2026-02-20 13:29:00+00:00,249.27
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-T0.1,0.0 or below,0.0,0.01,0.01,0.01,2026-02-20 13:29:00+00:00,249.27
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T-0.5,Above -0.5%,0.99,1.0,0.995,0.99,2026-02-20 13:29:00+00:00,249.27
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B4.3,4.1 to 4.5,0.0,0.01,0.01,0.01,2026-02-20 13:29:00+00:00,249.27
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B0.8,0.6 to 1.0,0.0,0.01,0.01,0.01,2026-02-20 13:29:00+00:00,249.27
Economics,KXCPI-26JAN,CPI in Jan 2026?,KXCPI-26JAN-T0.1,Above 0.1%,0.74,0.76,0.75,0.75,2026-02-11 13:29:00+00:00,33.27
Economics,KXCPI-26JAN,CPI in Jan 2026?,KXCPI-26JAN-T0.2,Above 0.2%,0.39,0.4,0.395,0.39,2026-02-11 13:29:00+00:00,33.27
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T2.7,Above 2.7%,0.04,0.05,0.045,0.03,2026-02-11 13:29:00+00:00,33.27
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T1.75,Above 1.75%,0.94,0.97,0.955,0.93,2026-02-20 13:29:00+00:00,249.27
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T0,Above 0%,0.99,1.0,0.995,0.99,2026-02-20 13:29:00+00:00,249.27
Economics,KXCPI-26JAN,CPI in Jan 2026?,KXCPI-26JAN-T0.3,Above 0.3%,0.13,0.15,0.14,0.13,2026-02-11 13:29:00+00:00,33.27
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B0.3,0.1 to 0.5,0.0,0.01,0.01,0.01,2026-02-20 13:29:00+00:00,249.27
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T4.5,Above 4.5%,0.1,0.28,0.19,0.17,2026-02-20 13:29:00+00:00,249.27
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T2.2,Above 2.2%,0.92,0.94,0.93,0.94,2026-02-11 13:29:00+00:00,33.27
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T4,Above 4%,0.27,0.45,0.36,0.44,2026-02-20 13:29:00+00:00,249.27
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T2.1,Above 2.1%,0.98,1.0,0.99,0.98,2026-02-11 13:29:00+00:00,33.27
Economics,KXCPI-26JAN,CPI in Jan 2026?,KXCPI-26JAN-T-0.1,Above -0.1%,0.98,0.99,0.985,0.99,2026-02-11 13:29:00+00:00,33.27
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T2.8,Above 2.8%,0.0,0.04,0.03,0.03,2026-02-11 13:29:00+00:00,33.27
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T5,Above 5%,0.12,0.15,0.135,0.11,2026-02-20 13:29:00+00:00,249.27
Economics,KXGDPYEAR-25,GDP growth in 2025?,KXGDPYEAR-25-B4.8,4.6 to 5.0,0.0,0.01,0.01,0.01,2026-02-20 13:29:00+00:00,249.27
Economics,KXEGGS-JAN,Will egg prices go up in Jan 2026?,KXEGGS-JAN-0,above 0%,0.15,0.38,0.265,0.36,2026-02-11 13:25:00+00:00,33.2
Economics,KXCPI-26JAN,CPI in Jan 2026?,KXCPI-26JAN-T0.0,Above 0.0%,0.9,0.91,0.905,0.9,2026-02-11 13:29:00+00:00,33.27
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T6,Above 6%,0.01,0.02,0.015,0.01,2026-02-20 13:29:00+00:00,249.27
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T2.9,Above 2.9%,0.0,0.02,0.01,0.01,2026-02-11 13:29:00+00:00,33.27
Economics,KXCPICORE-26JAN,CPI core in Jan 2026?,KXCPICORE-26JAN-T0.1,Above 0.1%,0.9,0.94,0.92,0.95,2026-02-11 13:25:00+00:00,33.2
Economics,KXCPI-26JAN,CPI in Jan 2026?,KXCPI-26JAN-T0.4,Above 0.4%,0.04,0.05,0.045,0.03,2026-02-11 13:29:00+00:00,33.27
Economics,KXGDP-26JAN30,US GDP growth in Q4 2025?,KXGDP-26JAN30-T5.5,Above 5.5%,0.04,0.08,0.06,0.07,2026-02-20 13:29:00+00:00,249.27
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T3.1,Above 3.1%,0.0,0.02,0.01,0.01,2026-02-11 13:29:00+00:00,33.27
Economics,KXCBDECISIONRUSSIA-26FEB13,What will the Bank of Russia do at the February key rate meeting?,KXCBDECISIONRUSSIA-26FEB13-HOLD,Maintain current rate,0.63,0.69,0.66,0.7,2026-02-13 10:29:00+00:00,78.27
Economics,KXCPICORE-26JAN,CPI core in Jan 2026?,KXCPICORE-26JAN-T0.3,Above 0.3%,0.35,0.45,0.4,0.44,2026-02-11 13:25:00+00:00,33.2
Economics,KXCPIYOY-26JAN,Inflation in Jan 2026? (CPI YoY),KXCPIYOY-26JAN-T3.0,Above 3.0%,0.0,0.02,0.01,0.01,2026-02-11 13:29:00+00:00,33.27
Economics,KXCPICOREYOY-26JAN,Core inflation in Jan 2026? (Core CPI YoY),KXCPICOREYOY-26JAN-T3.1,Above 3.1%,0.0,0.04,0.05,0.05,2026-02-11 13:25:00+00:00,33.2
Economics,KXCPICOREYOY-26JAN,Core inflation in Jan 2026? (Core CPI YoY),KXCPICOREYOY-26JAN-T2.5,Above 2.5%,0.34,0.51,0.425,0.52,2026-02-11 13:25:00+00:00,33.2
Economics,KXECONSTATCPI-26JAN,CPI month-over-month in Jan 2026?,KXECONSTATCPI-26JAN-T0.3,Exactly 0.3%,0.19,0.29,0.24,0.3,2026-02-11 13:29:00+00:00,33.27
Economics,KXCBDECISIONRUSSIA-26FEB13,What will the Bank of Russia do at the February key rate meeting?,KXCBDECISIONRUSSIA-26FEB13-C50,Cut 50 basis points,0.23,0.3,0.265,0.3,2026-02-13 10:29:00+00:00,78.27
Economics,KXCPICOREYOY-26JAN,Core inflation in Jan 2026? (Core CPI YoY),KXCPICOREYOY-26JAN-T2.9,Above 2.9%,0.02,0.07,0.045,0.02,2026-02-11 13:25:00+00:00,33.2
Economics,KXCPICORE-26JAN,CPI core in Jan 2026?,KXCPICORE-26JAN-T0.5,Above 0.5%,0.0,0.1,0.08,0.08,2026-02-11 13:25:00+00:00,33.2
Economics,KXJOBSRELEASE-26MAR,When will the January 2026 jobs report be published?,KXJOBSRELEASE-26MAR-26FEB14,"Before Feb 14, 2026",0.99,1.0,0.995,0.99,2026-02-14 04:59:00+00:00,96.77
Economics,KXCPICOREYOY-26JAN,Core inflation in Jan 2026? (Core CPI YoY),KXCPICOREYOY-26JAN-T2.8,Above 2.8%,0.02,0.1,0.06,0.1,2026-02-11 13:25:00+00:00,33.2
Economics,KXCBDECISIONRUSSIA-26FEB13,What will the Bank of Russia do at the February key rate meeting?,KXCBDECISIONRUSSIA-26FEB13-C25,Cut 25 basis points,0.05,0.14,0.095,0.14,2026-02-13 10:29:00+00:00,78.27
Economics,KXCPICOREYOY-26JAN,Core inflation in Jan 2026? (Core CPI YoY),KXCPICOREYOY-26JAN-T2.4,Above 2.4%,0.71,0.8,0.755,0.7,2026-02-11 13:25:00+00:00,33.2
Economics,KXCPICORE-26JAN,CPI core in Jan 2026?,KXCPICORE-26JAN-T0.2,Above 0.2%,0.42,0.74,0.58,0.74,2026-02-11 13:25:00+00:00,33.2
Economics,KXCPICOREYOY-26JAN,Core inflation in Jan 2026? (Core CPI YoY),KXCPICOREYOY-26JAN-T3.0,Above 3.0%,0.0,0.06,0.07,0.07,2026-02-11 13:25:00+00:00,33.2
Economics,KXCBDECISIONRUSSIA-26FEB13,What will the Bank of Russia do at the February key rate meeting?,KXCBDECISIONRUSSIA-26FEB13-H25P,Hike 25 basis points,0.0,0.01,0.02,0.02,2026-02-13 10:29:00+00:00,78.27
Economics,KXJOBLESSCLAIMS-26FEB12,"How many initial jobless claims for the week ending Feb 7, 2026?",KXJOBLESSCLAIMS-26FEB12-210000,At least 210000,0.63,0.74,0.685,0.73,2026-02-12 13:30:00+00:00,57.28
Economics,KXJOBLESSCLAIMS-26FEB12,"How many initial jobless claims for the week ending Feb 7, 2026?",KXJOBLESSCLAIMS-26FEB12-225000,At least 225000,0.36,0.39,0.375,0.32,2026-02-12 13:30:00+00:00,57.28
Economics,KXCPICORE-26JAN,CPI core in Jan 2026?,KXCPICORE-26JAN-T0.4,Above 0.4%,0.0,0.17,0.16,0.16,2026-02-11 13:25:00+00:00,33.2
Economics,KXJOBLESSCLAIMS-26FEB12,"How many initial jobless claims for the week ending Feb 7, 2026?",KXJOBLESSCLAIMS-26FEB12-230000,At least 230000,0.27,0.28,0.275,0.22,2026-02-12 13:30:00+00:00,57.28
Economics,KXCPICOREYOY-26JAN,Core inflation in Jan 2026? (Core CPI YoY),KXCPICOREYOY-26JAN-T2.7,Above 2.7%,0.01,0.23,0.12,0.24,2026-02-11 13:25:00+00:00,33.2
Economics,KXJOBLESSCLAIMS-26FEB12,"How many initial jobless claims for the week ending Feb 7, 2026?",KXJOBLESSCLAIMS-26FEB12-220000,At least 220000,0.45,0.47,0.46,0.42,2026-02-12 13:30:00+00:00,57.28
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T2.8,Exactly 2.8%,0.0,0.15,0.15,0.15,2026-02-11 13:29:00+00:00,33.27
Economics,KXCBDECISIONRUSSIA-26FEB13,What will the Bank of Russia do at the February key rate meeting?,KXCBDECISIONRUSSIA-26FEB13-H50P,Hike more than 50bp,0.0,0.01,0.03,0.03,2026-02-13 10:29:00+00:00,78.27
Economics,KXJOBLESSCLAIMS-26FEB12,"How many initial jobless claims for the week ending Feb 7, 2026?",KXJOBLESSCLAIMS-26FEB12-200000,At least 200000,0.82,0.85,0.835,0.83,2026-02-12 13:30:00+00:00,57.28
Economics,KXCPICOREYOY-26JAN,Core inflation in Jan 2026? (Core CPI YoY),KXCPICOREYOY-26JAN-T2.6,Above 2.6%,0.04,0.35,0.195,0.01,2026-02-11 13:25:00+00:00,33.2
Economics,KXJOBLESSCLAIMS-26FEB12,"How many initial jobless claims for the week ending Feb 7, 2026?",KXJOBLESSCLAIMS-26FEB12-215000,At least 215000,0.59,0.6,0.595,0.5,2026-02-12 13:30:00+00:00,57.28
Economics,KXECONSTATCPI-26JAN,CPI month-over-month in Jan 2026?,KXECONSTATCPI-26JAN-T0.0,Exactly 0.0%,0.03,0.05,0.04,0.03,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.3,Exactly 2.3%,0.19,0.24,0.215,0.19,2026-02-11 13:29:00+00:00,33.27
Economics,KXCBDECISIONRUSSIA-26FEB13,What will the Bank of Russia do at the February key rate meeting?,KXCBDECISIONRUSSIA-26FEB13-C50P,Cut more than 50bp,0.0,0.01,0.05,0.05,2026-02-13 10:29:00+00:00,78.27
Economics,KXECONSTATCPI-26JAN,CPI month-over-month in Jan 2026?,KXECONSTATCPI-26JAN-T0.2,Exactly 0.2%,0.23,0.49,0.36,0.54,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T2.5,Exactly 2.5%,0.15,0.57,0.36,0.15,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPICORE-26JAN,CPI core month-over-month in Jan 2026?,KXECONSTATCPICORE-26JAN-T0.2,Exactly 0.2%,0.19,0.65,0.42,0.2,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPI-26JAN,CPI month-over-month in Jan 2026?,KXECONSTATCPI-26JAN-T0.1,Exactly 0.1%,0.12,0.43,0.275,0.15,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPICORE-26JAN,CPI core month-over-month in Jan 2026?,KXECONSTATCPICORE-26JAN-T0.3,Exactly 0.3%,0.41,0.55,0.48,0.64,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T2.4,Exactly 2.4%,0.18,0.65,0.415,0.18,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T3.1,Exactly 3.1%,0.0,0.1,0.02,0.02,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.4,Exactly 2.4%,0.26,0.5,0.38,0.26,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPICORE-26JAN,CPI core month-over-month in Jan 2026?,KXECONSTATCPICORE-26JAN-T0.1,Exactly 0.1%,0.06,0.28,0.17,0.06,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPI-26JAN,CPI month-over-month in Jan 2026?,KXECONSTATCPI-26JAN-T0.4,Exactly 0.4%,0.04,0.3,0.17,0.03,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T2.3,Exactly 2.3%,0.06,0.97,0.515,0.08,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T2.6,Exactly 2.6%,0.05,0.97,0.51,0.06,2026-02-11 13:29:00+00:00,33.27
Economics,KXJOBSRELEASE-26MAR,When will the January 2026 jobs report be published?,KXJOBSRELEASE-26MAR-26FEB17,"Before Feb 17, 2026",0.99,1.0,0.995,0.99,2026-02-17 04:59:00+00:00,168.77
Economics,KXCBDECISIONRUSSIA-26FEB13,What will the Bank of Russia do at the February key rate meeting?,KXCBDECISIONRUSSIA-26FEB13-H50,Hike 50 basis points,0.0,0.01,0.05,0.05,2026-02-13 10:29:00+00:00,78.27
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.5,Exactly 2.5%,0.15,0.5,0.325,0.17,2026-02-11 13:29:00+00:00,33.27
Economics,KXCPICOREYOY-26JAN,Core inflation in Jan 2026? (Core CPI YoY),KXCPICOREYOY-26JAN-T3.2,Above 3.2%,0.0,0.06,0.12,0.12,2026-02-11 13:25:00+00:00,33.2
Economics,KXECONSTATCPICORE-26JAN,CPI core month-over-month in Jan 2026?,KXECONSTATCPICORE-26JAN-T0.5,Exactly 0.5%,0.0,0.21,0.38,0.38,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.7,Exactly 2.7%,0.03,0.07,0.05,0.11,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T3.1,Exactly 3.1%,0.0,0.08,0.2,0.2,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T3.0,Exactly 3.0%,0.0,0.08,0.25,0.25,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T3.3,Exactly 3.3%,0.0,0.08,0.28,0.28,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T3.2,Exactly 3.2%,0.0,0.06,0.3,0.3,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.9,Exactly 2.9%,0.0,0.14,0.3,0.3,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPI-26JAN,CPI month-over-month in Jan 2026?,KXECONSTATCPI-26JAN-T0.5,Exactly 0.5%,0.0,0.2,0.3,0.3,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPI-26JAN,CPI month-over-month in Jan 2026?,KXECONSTATCPI-26JAN-T-0.2,Exactly -0.2%,0.0,0.12,0.29,0.29,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T2.9,Exactly 2.9%,0.0,0.1,0.3,0.3,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.1,Exactly 2.1%,0.0,0.18,0.37,0.37,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.0,Exactly 2.0%,0.0,0.13,0.34,0.34,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPI-26JAN,CPI month-over-month in Jan 2026?,KXECONSTATCPI-26JAN-T-0.1,Exactly -0.1%,0.0,0.16,0.37,0.37,2026-02-11 13:29:00+00:00,33.27
Economics,KXCPICOREYOY-26JAN,Core inflation in Jan 2026? (Core CPI YoY),KXCPICOREYOY-26JAN-T3.5,Above 3.5%,0.0,0.05,0.06,0.06,2026-02-11 13:25:00+00:00,33.2
Economics,KXECONSTATCPICORE-26JAN,CPI core month-over-month in Jan 2026?,KXECONSTATCPICORE-26JAN-T-0.2,Exactly -0.2%,0.0,0.1,0.25,0.25,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPI-26JAN,CPI month-over-month in Jan 2026?,KXECONSTATCPI-26JAN-T0.6,Exactly 0.6%,0.0,0.15,0.28,0.28,2026-02-11 13:29:00+00:00,33.27
Economics,KXJOBLESSCLAIMS-26FEB12,"How many initial jobless claims for the week ending Feb 7, 2026?",KXJOBLESSCLAIMS-26FEB12-240000,At least 240000,0.05,0.16,0.105,0.14,2026-02-12 13:30:00+00:00,57.28
Economics,KXECONSTATCPICORE-26JAN,CPI core month-over-month in Jan 2026?,KXECONSTATCPICORE-26JAN-T0.4,Exactly 0.4%,0.0,0.32,0.4,0.4,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPICORE-26JAN,CPI core month-over-month in Jan 2026?,KXECONSTATCPICORE-26JAN-T-0.1,Exactly -0.1%,0.0,0.1,0.38,0.38,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T3.0,Exactly 3.0%,0.0,0.11,0.19,0.19,2026-02-11 13:29:00+00:00,33.27
Economics,KXJOBLESSCLAIMS-26FEB12,"How many initial jobless claims for the week ending Feb 7, 2026?",KXJOBLESSCLAIMS-26FEB12-270000,At least 270000,0.0,0.07,0.0,0.0,2026-02-12 13:30:00+00:00,57.28
Economics,KXJOBLESSCLAIMS-26FEB12,"How many initial jobless claims for the week ending Feb 7, 2026?",KXJOBLESSCLAIMS-26FEB12-260000,At least 260000,0.0,0.08,0.0,0.0,2026-02-12 13:30:00+00:00,57.28
Economics,KXJOBLESSCLAIMS-26FEB12,"How many initial jobless claims for the week ending Feb 7, 2026?",KXJOBLESSCLAIMS-26FEB12-250000,At least 250000,0.0,0.11,0.0,0.0,2026-02-12 13:30:00+00:00,57.28
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T3.5,Exactly 3.5%,0.0,0.07,0.0,0.0,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T3.4,Exactly 3.4%,0.0,0.06,0.0,0.0,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.8,Exactly 2.8%,0.0,0.16,0.0,0.0,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.6,Exactly 2.6%,0.06,0.45,0.255,0.0,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPIYOY-26JAN,CPI year-over-year in Jan 2026?,KXECONSTATCPIYOY-26JAN-T2.2,Exactly 2.2%,0.01,0.04,0.025,0.0,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCPICORE-26JAN,CPI core month-over-month in Jan 2026?,KXECONSTATCPICORE-26JAN-T0.0,Exactly 0.0%,0.0,0.15,0.0,0.0,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T3.7,Exactly 3.7%,0.0,0.06,0.0,0.0,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T3.6,Exactly 3.6%,0.0,0.08,0.0,0.0,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T3.5,Exactly 3.5%,0.0,0.08,0.0,0.0,2026-02-11 13:29:00+00:00,33.27
Economics,KXECONSTATCORECPIYOY-26JAN,CPI core year-over-year in Jan 2026?,KXECONSTATCORECPIYOY-26JAN-T3.4,Exactly 3.4%,0.0,0.08,0.0,0.0,2026-02-11 13:29:00+00:00,33.27
