market_ticker,return_1h,return_6h,return_24h,trend_slope_24h,max_drawdown_24h,volatility_24h,vol_regime_shift,high_low_range_24h,candle_count
KXCPI-26JAN-T0.0,-0.041237,0.0,0.0,0.182418,0.041237,0.015914,1.4719,0.04265,14
KXCPICOREYOY-26JAN-T2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.015385,13
KXGDP-26JAN30-T1.5,0.0,-0.020619,-0.020619,-0.151648,0.020619,0.003739,1.3066,0.020725,14
KXECONSTATCPI-26JAN-T0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12
KXECONSTATCORECPIYOY-26JAN-T2.5,0.0,27.5,27.5,6.0,0.0,8.25,1.2423,3.235294,11
KXCPIYOY-26JAN-T2.3,-0.021277,0.045455,0.082353,0.295455,0.034483,0.014356,1.0382,0.14883,23
KXCPI-26JAN-T0.1,0.012821,0.012821,0.025974,0.078063,0.025641,0.012259,1.1089,0.051685,23
KXECONSTATCPIYOY-26JAN-T2.5,0.014706,0.014706,-0.178571,-1.694505,0.190476,0.051232,0.107,0.210329,14
KXCPICORE-26JAN-T0.1,0.053763,0.076923,0.076923,0.289706,0.041237,0.023844,1.523,0.076139,16
KXECONSTATCPICORE-26JAN-T0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXECONSTATCPI-26JAN-T0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXCPIYOY-26JAN-T2.4,0.177419,0.258621,0.303571,0.324348,0.068966,0.041429,1.6398,0.553314,24
KXGDPYEAR-25-B2.3,0.011628,-0.022472,-0.022472,-0.181818,0.033708,0.011611,1.3372,0.033898,12
KXECONSTATCPI-26JAN-T0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXECONSTATCPI-26JAN-T0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12
KXCPICORE-26JAN-T0.3,0.019231,0.06,-0.171875,-1.080702,0.421875,0.205242,1.16,0.632747,19
KXCPI-26JAN-T0.2,0.0,0.02439,0.0,-0.030632,0.071429,0.02114,1.0552,0.072176,23
KXECONSTATCORECPIYOY-26JAN-T2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXECONSTATCORECPIYOY-26JAN-T2.3,-0.333333,-0.333333,-0.333333,-0.028571,0.333333,0.088823,1.3986,1.02439,14
KXECONSTATCORECPIYOY-26JAN-T2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13
KXGDP-26JAN30-T1.75,0.0,-0.020833,-0.020833,-0.357143,0.020833,0.00729,1.065,0.021108,8
KXECONSTATCPIYOY-26JAN-T2.3,0.0,-0.666667,-0.666667,-1.51049,0.666667,0.191653,1.2964,1.0,12
KXECONSTATCPI-26JAN-T0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXCPIYOY-26JAN-T2.5,-0.233333,-0.258065,-0.30303,-0.424348,0.823529,0.87689,1.8915,1.057851,24
KXGDP-26JAN30-T2.0,0.022727,0.0,0.011236,-0.104396,0.033333,0.010769,1.3547,0.044944,13
KXEGGS-JAN-0,0.333333,0.636364,2.0,0.32087,0.804878,0.982981,0.4086,1.411765,24
KXGDP-26JAN30-T5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13
KXGDPYEAR-25-B1.8,0.0,1.0,1.0,0.081818,0.0,0.3,1.2423,0.846154,11
KXGDP-26JAN30-T4.5,0.0,0.0,0.0625,0.076471,0.058824,0.027056,1.2948,0.061069,16
KXGDP-26JAN30-T5,0.1,0.0,0.1,0.003571,0.090909,0.044251,1.2463,0.092025,15
KXCPI-26JAN-T0.3,0.0,0.0,-0.111111,-0.077357,0.222222,0.0616,0.6055,0.246499,22
KXCPICOREYOY-26JAN-T2.5,-0.111111,-0.263158,-0.050847,0.35,0.263158,0.126734,0.5422,0.39055,15
KXGDP-26JAN30-T3.5,0.0,0.046512,-0.021739,-0.109091,0.106383,0.022816,0.7597,0.110643,21
KXGDP-26JAN30-T2.5,0.012821,-0.0125,-0.024691,-0.232843,0.04878,0.013063,1.0317,0.062408,17
KXCPICOREYOY-26JAN-T2.6,-0.617647,-0.628571,-0.666667,-0.858824,0.666667,0.152796,1.4941,0.74552,16
KXGDP-26JAN30-T3.0,0.017241,0.017241,-0.016667,-0.102767,0.173913,0.056869,0.3619,0.21793,23
KXCPI-26JAN-T0.4,0.25,0.0,-0.285714,-0.096491,0.428571,0.109448,1.534,0.57,19
KXCPICORE-26JAN-T0.4,-0.071429,-0.235294,-0.235294,-0.286713,0.315789,0.087343,1.3249,0.367347,12
KXCPICOREYOY-26JAN-T2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11
KXCPI-26JAN-T-0.1,-0.010101,-0.010101,-0.010101,-0.054545,0.010101,0.003174,1.1859,0.010111,10
KXECONSTATCPIYOY-26JAN-T2.7,0.0,-0.964286,-0.964286,-3.927273,0.964286,0.303046,1.1859,1.569767,10
KXCPICOREYOY-26JAN-T2.8,0.0,-0.583333,-0.545455,-0.307353,0.583333,0.148857,1.4604,0.687117,16
KXCPIYOY-26JAN-T2.6,-0.466667,0.0,-0.2,0.013834,0.5,0.304591,1.8626,3.965517,23
KXCPICOREYOY-26JAN-T2.9,-0.5,-0.666667,-0.875,-0.455882,0.888889,1.997605,1.5723,1.387755,17
KXGDP-26JAN30-T6,-0.333333,1.0,0.0,0.004396,0.5,0.572203,1.3627,1.4,14
KXCPICOREYOY-26JAN-T3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
KXCPICOREYOY-26JAN-T3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
KXCPICORE-26JAN-T0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12
KXCPIYOY-26JAN-T3.1,1.0,1.0,0.0,-0.0516,0.5,0.378944,1.4752,3.214286,18
KXCPIYOY-26JAN-T2.7,2.0,2.75,1.5,0.038538,0.428571,0.448397,1.6824,2.536765,23
KXECONSTATCPICORE-26JAN-T0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13
KXCPIYOY-26JAN-T2.9,0.0,0.666667,0.25,-0.07594,0.75,1.023857,1.5282,1.230769,20
KXECONSTATCPI-26JAN-T-0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXECONSTATCPI-26JAN-T0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXECONSTATCPICORE-26JAN-T0.5,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,10
KXECONSTATCORECPIYOY-26JAN-T2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXGDP-26JAN30-T4,0.0,0.0,0.0,-0.028896,0.133333,0.047131,0.4154,0.169811,18
KXCPIYOY-26JAN-T2.1,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,9
KXECONSTATCPI-26JAN-T0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXECONSTATCPI-26JAN-T-0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXCPIYOY-26JAN-T3.0,0.0,0.0,0.0,-0.008791,0.666667,0.348284,1.4532,3.0,14
KXCPIYOY-26JAN-T2.8,0.0,0.5,0.0,-0.064662,0.75,0.505091,1.6434,0.9375,20
KXECONSTATCPIYOY-26JAN-T3.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,10
KXECONSTATCORECPIYOY-26JAN-T3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXECONSTATCORECPIYOY-26JAN-T3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXGDP-26JAN30-T0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
KXECONSTATCORECPIYOY-26JAN-T2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXJOBLESSCLAIMS-26FEB12-230000,0.322581,0.28125,0.28125,0.203571,0.03125,0.08408,1.4638,0.307377,15
KXECONSTATCPIYOY-26JAN-T2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXECONSTATCPIYOY-26JAN-T2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXECONSTATCPIYOY-26JAN-T3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXECONSTATCPIYOY-26JAN-T3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXCBDECISIONRUSSIA-26FEB13-HOLD,-0.028986,-0.014706,-0.014706,-0.172727,0.097222,0.025748,1.2833,0.187629,21
KXECONSTATCPICORE-26JAN-T-0.1,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,10
KXECONSTATCPICORE-26JAN-T-0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXECONSTATCPIYOY-26JAN-T2.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,10
KXJOBLESSCLAIMS-26FEB12-210000,0.012821,0.012821,0.039474,0.289286,0.025,0.012031,1.2772,0.051769,15
KXJOBLESSCLAIMS-26FEB12-215000,0.014706,0.014706,-0.054795,-0.473039,0.123288,0.024943,1.4199,0.127394,17
KXECONSTATCPIYOY-26JAN-T3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXJOBLESSCLAIMS-26FEB12-225000,0.0,0.020408,-0.019608,-0.124812,0.098039,0.028936,1.6844,0.099602,20
KXJOBLESSCLAIMS-26FEB12-220000,0.0,-0.048387,-0.063492,-0.284211,0.063492,0.01146,1.5736,0.064957,19
KXCBDECISIONRUSSIA-26FEB13-C50,0.068966,-0.544118,0.033333,0.545865,0.597222,0.37459,0.4216,1.341108,20
KXJOBLESSCLAIMS-26FEB12-200000,0.0,0.011236,0.011236,0.072527,0.0,0.002994,1.3986,0.011209,14
KXJOBLESSCLAIMS-26FEB12-240000,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,12
KXCBDECISIONRUSSIA-26FEB13-C25,0.0,1.0,-0.538462,-0.296703,0.769231,0.711994,1.2798,1.354167,13
KXJOBSRELEASE-26MAR-26FEB17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
KXGDP-26JAN30-T1.25,0.010526,-0.010309,-0.010309,-0.25,0.020619,0.0093,1.0,0.020896,7
KXCPICOREYOY-26JAN-T3.2,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,5
KXCPICOREYOY-26JAN-T3.5,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,5
KXGDP-26JAN30-T1.0,0.0,0.010204,0.010204,0.09697,0.0,0.003207,1.1859,0.010183,10
KXCBDECISIONRUSSIA-26FEB13-H50P,0.333333,0.333333,0.333333,0.045455,0.0,0.1,1.2423,0.323529,11
KXCBDECISIONRUSSIA-26FEB13-H25P,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12
KXCBDECISIONRUSSIA-26FEB13-H50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXCBDECISIONRUSSIA-26FEB13-C50P,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11
KXJOBSRELEASE-26MAR-26FEB14,0.020833,0.088889,0.088889,0.832168,0.0,0.019499,1.2566,0.085868,12
KXGDP-26JAN30-T.5,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,5
KXGDP-26JAN30-T-0.5,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,5
KXTOPALBUMTHEFALLOFF-26FEB21-FAL,0.0875,0.144737,0.191781,0.135652,0.109756,0.049064,0.6673,0.219355,24
KXSBGUESTS-26-ROG,,,,,,,,,0
KXSBGUESTS-26-JBEZ,0.0,0.0,1.0,0.017157,0.833333,1.300207,0.4796,17.354167,17
KXSBGUESTS-26-TOM,-0.5,0.0,-0.5,-0.063725,0.75,0.602165,0.7453,1.942857,17
KXSBGUESTS-26-KLAM,0.0,-0.5,0.0,-0.012255,0.666667,0.622129,0.8037,1.888889,17
KXSBGUESTS-26-TCHA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17
KXSBGUESTS-26-DJT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16
KXSBGUESTS-26-EM,0.0,-0.933333,0.0,0.095588,0.933333,1.654618,0.3521,7.157895,17
KXSBGUESTS-26-JB,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12
KXSBGUESTS-26-TS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17
KXSBGUESTS-26-LGAG,,,,,,,,,0
KXSBGUESTS-26-JDV,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,15
KXALBUMSALES-FAL-100000,0.06383,0.162791,0.0,-0.574783,0.40678,0.108115,1.121,0.648084,24
KXSBGUESTS-26-BO,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,15
KXRANKLISTSONGTOP10-26FEB14-OPA,0.0,-0.5,-0.9,-1.215217,0.964286,0.519775,0.6928,3.068852,24
KXRT-WUT-75,0.833333,1.75,-0.825397,-3.393043,0.973333,0.496718,1.1903,1.819672,24
KXSBGUESTS-26-DRA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17
KXSBGUESTS-26-PDAV,-0.333333,-0.333333,0.0,-0.176471,0.888889,1.172315,0.5038,2.72,17
KXSBGUESTS-26-LM,1.0,1.0,1.0,0.022059,0.0,0.249444,1.494,0.941176,16
KXRT-WUT-85,0.0,0.0,-0.956522,-1.619549,0.958333,0.224283,0.0,1.597222,20
KXSBGUESTS-26-MWAH,0.5,0.0,-0.25,-0.159314,0.6,0.314395,1.0893,1.133333,17
KXSBGUESTS-26-KN,0.0,0.0,0.0,-0.019118,0.5,0.286744,0.0,0.941176,16
KXALBUMSALES-FAL-125000,0.03125,0.222222,-0.214286,-0.475217,0.404762,0.140434,0.6687,0.669202,24
KXALBUMSALES-FAL-50000,0.0,0.010417,0.24359,0.347781,0.072165,0.058822,0.2147,0.200351,18
KXSBGUESTS-26-KKAR,,,,,,,,,0
KXSBGUESTS-26-SSWE,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,15
KXSBGUESTS-26-BGAT,1.0,0.0,1.0,0.019118,0.5,0.46428,0.9666,0.842105,16
KXSBGUESTS-26-BAFF,0.0,0.0,-0.2,-0.313725,0.833333,0.594324,1.4893,3.813084,17
KXRT-WUT-70,-0.022222,0.222222,-0.421053,-2.172174,0.60241,0.206638,0.4742,0.954907,24
KXRT-WUT-45,0.010204,0.0,0.010204,0.075,0.010101,0.00465,1.2606,0.020298,15
KXALBUMSALES-FAL-60000,0.0,0.0,0.055556,0.151948,0.031579,0.014781,1.2537,0.053327,21
KXSBGUESTS-26-CARB,,,,,,,,,0
KXSBGUESTS-26-TH,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13
KXALBUMSALES-FAL-80000,0.0,0.0,0.128571,0.116957,0.095238,0.04158,0.5378,0.252765,24
KXRT-WUT-90,0.0,-0.8,-0.916667,-0.660294,0.923077,0.743019,1.2222,1.794393,16
KXALBUMSALES-FAL-70000,-0.022222,0.035294,0.023256,-0.130435,0.105263,0.035666,0.6318,0.144027,23
KXRT-WUT-80,0.25,4.0,-0.886364,-2.520435,0.98,0.402635,0.8485,1.913876,24
KXSBGUESTS-26-SALT,-0.333333,0.0,1.0,0.007353,0.75,0.940951,0.3142,1.847826,17
KXRT-CRI-45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
KXRANKLISTSONGTOP10-26FEB14-FOL,0.0,0.0,0.32,1.665414,0.012987,0.064161,0.0,0.281195,20
KXSBGUESTS-26-AHAT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13
KXSBGUESTS-26-ZEN,0.0,0.666667,0.666667,-0.286765,0.833333,0.75463,0.5544,8.138298,17
KXSBGUESTS-26-JK,0.181818,-0.675,-0.35,-1.590686,0.816667,0.263337,0.7602,2.203704,17
KXSBGUESTS-26-KHAR,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,14
KXSBGUESTS-26-GNEW,,,,,,,,,0
KXSBGUESTS-26-PHIL,0.0,-0.5,-0.5,-0.035165,0.5,0.339683,0.5486,2.333333,14
KXSBGUESTS-26-MDAM,0.333333,-0.2,-0.333333,-0.208333,0.777778,0.702849,1.4867,4.689655,17
KXALBUMSALES-FAL-150000,0.133333,-0.055556,-0.451613,-0.552174,0.756757,0.296312,1.3248,1.647059,24
KXTOPSONG-26FEB21-OPA,0.333333,1.0,-0.75,-0.897744,0.875,0.366083,1.1804,1.590909,20
KXSBGUESTS-26-TBRA,,,,,,,,,0
KXALBUMSALES-FAL-30000,0.0,0.0,0.053191,1.142857,0.0,0.021277,1.0,0.05137,6
KXSBGUESTS-26-DOE,0.0,-0.571429,-0.4,-0.264706,0.666667,0.430173,0.4635,1.53,17
KXRT-WUT-65,0.070423,-0.116279,-0.146067,-0.590909,0.228261,0.06075,1.1686,0.517912,23
KXRANKLISTSONGTOP10-26FEB14-APE,0.5,-0.4,-0.842105,-1.100435,0.978261,0.826249,1.0804,3.355623,24
KXALBUMSALES-FAL-40000,-0.040404,-0.030612,0.130952,0.220779,0.040816,0.030923,0.5255,0.154943,21
KXRT-CRI-60,0.053763,0.010309,0.010309,-0.242424,0.072165,0.041915,1.224,0.084567,10
KXALBUMSALES-WUT-25000,-0.033898,-0.033898,-0.033898,-0.076923,0.033898,0.009745,1.2964,0.033994,12
KXRT-CRI-75,-0.025,-0.025,-0.025,0.147059,0.093023,0.023847,1.5771,0.099071,16
KXRT-WUT-60,-0.010101,-0.010101,0.053763,0.114286,0.282828,0.104255,1.8153,0.298023,21
KXALBUMSALES-WUT-20000,-0.259259,-0.375,-0.375,-1.482517,0.375,0.083085,1.2319,0.39779,12
KXALBUMSALES-WUT-5000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3
KXRANKLISTSONGTOP10-26FEB14-DAI,1.0,0.0,0.0,-0.065934,0.5,0.320048,1.4022,0.565217,13
KXRANKLISTSONGTOP10-26FEB14-COU,2.0,2.0,2.0,0.044118,0.0,0.498888,1.494,1.777778,16
KXALBUMSALES-WUT-30000,-0.119048,-0.139535,-0.139535,-0.363636,0.139535,0.03562,1.2204,0.142549,11
KXALBUMSALES-WUT-40000,0.5,-0.129032,-0.129032,-0.562937,0.419355,0.196623,1.3532,0.439437,12
KXRT-CRI-85,-0.020833,0.382353,0.27027,0.405195,0.081081,0.060229,1.26,0.366127,21
KXRT-CRI-80,0.130435,0.147059,0.258065,-0.422556,0.222222,0.103046,0.5448,0.259918,20
KXBILLBOARDRUNNERUPALBUM-26FEB21-THEL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
KXBILLBOARDRUNNERUPSONG-26FEB21-FOL,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,9
KXBILLBOARDRUNNERUPSONG-26FEB21-BAC,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,9
KXBILLBOARDRUNNERUPSONG-26FEB21-APE,0.0,2.0,2.0,0.197802,0.0,0.552771,1.3484,1.238095,13
KXBILLBOARDRUNNERUPALBUM-26FEB21-WIT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXBILLBOARDRUNNERUPALBUM-26FEB21-SOS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXBILLBOARDRUNNERUPALBUM-26FEB21-SLI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXBILLBOARDRUNNERUPALBUM-26FEB21-MEG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXBILLBOARDRUNNERUPALBUM-26FEB21-KPO,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXBILLBOARDRUNNERUPALBUM-26FEB21-DON,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXTOPSONG-26FEB21-FOL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXTOPSONG-26FEB21-BAC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXTOPSONG-26FEB21-APE,0.0,1.0,-0.333333,-0.145055,0.666667,0.332346,1.1214,1.076923,14
KXBILLBOARDRUNNERUPSONG-26FEB21-THE,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,9
KXBILLBOARDRUNNERUPSONG-26FEB21-ORD,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,9
KXTOPSONG-26FEB21-THE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11
KXTOPSONG-26FEB21-ORD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXTOPSONG-26FEB21-GOL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXBILLBOARDRUNNERUPALBUM-26FEB21-THE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXALBUMSALES-FAL-200000,0.083333,0.3,0.181818,-0.142174,0.526316,0.304816,0.476,1.234727,24
KXRT-CRI-90,-0.421053,-0.388889,-0.352941,-0.137662,0.45,0.171983,1.7598,0.541547,21
KXBILLBOARDRUNNERUPALBUM-26FEB21-IMT,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,4
KXTOPSONG-26FEB21-MAN,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXRT-CRI-65,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10
KXALBUMSALES-FAL-25000,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,5
KXRANKLISTSONGTOP10-26FEB14-SOE,0.5,0.5,-0.943396,-2.143281,0.984615,1.321263,0.141,3.652605,23
KXALBUMSALES-WUT-10000,0.0,0.112676,0.112676,1.036364,0.0,0.0294,1.2276,0.121027,11
KXRT-CRI-70,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13
KXALBUMSALES-WUT-45000,-0.32,-0.291667,-0.291667,-0.52381,0.32,0.115306,1.0694,0.344086,8
KXALBUMSALES-WUT-50000,0.052632,0.052632,0.052632,0.083333,0.0,0.018417,1.065,0.20915,8
KXALBUMSALES-WUT-55000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
KXALBUMSALES-FAL-10000,0.031915,0.043011,0.043011,0.263636,0.0,0.009758,1.2059,0.064078,11
KXRANKLISTSONGBBH100-26FEB14-FAT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
KXCPICOMBO-26JAN-0024,-0.012048,0.822222,0.822222,1.821078,0.132075,0.138396,1.4748,0.739977,17
KXCPICOMBO-26JAN-0123,-0.243902,-0.173333,-0.173333,0.167033,0.243902,0.071498,1.4493,0.261194,14
KXDHSFUND-26FEB13,0.375,0.571429,0.571429,0.163158,0.2,0.153878,1.6362,0.904762,19
KXCPICOMBO-26JAN-0224,-0.068182,-0.068182,-0.163265,-0.542857,0.163265,0.034561,0.7352,0.174184,14
KXCPICOMBO-26JAN-0125,0.2,0.2,0.2,0.142857,0.0,0.053294,1.3986,0.197183,14
KXCPICOMBO-26JAN-01226,0.0,-0.125,-0.695652,-1.454076,0.730769,0.152997,0.3045,1.290566,18
KXDHSFUND-26FEB14,-0.142857,0.071429,0.034483,0.042312,0.142857,0.066159,1.652,0.349515,18
KXDHSFUND-26FEB15,-0.157895,-0.085714,-0.111111,0.191176,0.529412,0.342082,1.618,1.133333,17
KXDHSFUNDING-26FEB14,-0.25,0.0,-0.25,-0.031169,0.5,0.217147,1.3613,0.575342,21
KXDHSFUND-26FEB17,0.025,0.078947,0.108108,0.198246,0.157895,0.096187,1.7179,0.34116,19
KXNURSESTRIKE-26-FEB15,-0.057971,-0.133333,0.083333,0.295455,0.683333,0.608223,0.4799,1.600296,23
KXDHSFUND-26FEB16,0.0,0.264706,0.228571,0.220846,0.114286,0.075738,1.5932,0.766562,18
KXSCOTUSVRARELEASE-26FEB13,-0.333333,-0.333333,-0.333333,-0.038462,0.333333,0.095827,1.2964,0.342857,12
KXPOILIEVREOUT-26FEB15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12
KXVOTEBONDIIMPEACH-26-FEB13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
KXNBAGAME-26FEB05GSWPHX-PHX,,,,,,,,,0
KXNBAGAME-26FEB05GSWPHX-GSW,,,,,,,,,0
KXNBAGAME-26FEB05PHILAL-LAL,,,,,,,,,0
KXNBAGAME-26FEB05PHILAL-PHI,,,,,,,,,0
KXNHLGAME-26FEB05LAVGK-VGK,,,,,,,,,0
KXNCAAMBGAME-26FEB05UCSBUCD-UCSB,,,,,,,,,0
KXNCAAMBGAME-26FEB05UCSBUCD-UCD,,,,,,,,,0
KXNHLGAME-26FEB05LAVGK-LA,,,,,,,,,0
KXNBAGAME-26FEB05SASDAL-SAS,,,,,,,,,0
KXNBASPREAD-26FEB05SASDAL-DAL10,,,,,,,,,0
KXNBAGAME-26FEB05CHAHOU-CHA,,,,,,,,,0
